"Domain","Value","Order Sequence"
"COMM_HLTH_SVC_AREA","3211 Downtown Vancouver","92"
"COMM_HLTH_SVC_AREA","3212 West End","93"
"COMM_HLTH_SVC_AREA","3213 Fairview","94"
"COMM_HLTH_SVC_AREA","3221 Downtown Eastside","95"
"COMM_HLTH_SVC_AREA","3222 Northeast False Creek","96"
"COMM_HLTH_SVC_AREA","3223 Grandview-Woodland","97"
"COMM_HLTH_SVC_AREA","3231 Cedar Cottage","98"
"COMM_HLTH_SVC_AREA","3232 Hastings-Sunrise","99"
"COMM_HLTH_SVC_AREA","3233 Renfrew-Collingwood","100"
"COMM_HLTH_SVC_AREA","3241 Shaughnessy/Arbutus Ridge/Kerrisdale","101"
"COMM_HLTH_SVC_AREA","3242 West Point Grey/Dunbar-Southlands","102"
"COMM_HLTH_SVC_AREA","3243 University of British Columbia","103"
"COMM_HLTH_SVC_AREA","3244 Kitsilano","104"
"COMM_HLTH_SVC_AREA","3251 Kensington","105"
"COMM_HLTH_SVC_AREA","3252 Mount Pleasant","106"
"COMM_HLTH_SVC_AREA","3253 South Cambie/Riley Park","107"
"COMM_HLTH_SVC_AREA","3261 Killarney","108"
"COMM_HLTH_SVC_AREA","3262 Oakridge/Marpole","109"
"COMM_HLTH_SVC_AREA","3263 Sunset","110"
"COMM_HLTH_SVC_AREA","3264 Victoria-Fraserview","111"
"COMM_HLTH_SVC_AREA","3311 North Vancouver City - East","112"
"COMM_HLTH_SVC_AREA","3312 North Vancouver City - West","113"
"COMM_HLTH_SVC_AREA","3313 North Vancouver DM - Central","114"
"COMM_HLTH_SVC_AREA","3314 North Vancouver DM - East","115"
"COMM_HLTH_SVC_AREA","3315 North Vancouver DM - West","116"
"COMM_HLTH_SVC_AREA","3321 West Vancouver - Lower","117"
"COMM_HLTH_SVC_AREA","3322 West Vancouver - Upper","118"
"COMM_HLTH_SVC_AREA","3323 Bowen Island/Lions Bay","119"
"COMM_HLTH_SVC_AREA","3331 Gibsons","120"
"COMM_HLTH_SVC_AREA","3332 Sechelt","121"
"COMM_HLTH_SVC_AREA","3333 Sunshine Coast Rural","122"
"COMM_HLTH_SVC_AREA","3341 Powell River City","123"
"COMM_HLTH_SVC_AREA","3342 qathet Rural","124"
"COMM_HLTH_SVC_AREA","3351 Squamish","125"
"COMM_HLTH_SVC_AREA","3352 Whistler","126"
"COMM_HLTH_SVC_AREA","3353 Howe Sound Rural","127"
"COMM_HLTH_SVC_AREA","3360 Bella Coola Valley","128"
"COMM_HLTH_SVC_AREA","3370 Central Coast","129"
"COMM_HLTH_SVC_AREA","4111 Downtown Victoria/Vic West","130"
"COMM_HLTH_SVC_AREA","4112 James Bay/Fairfield","131"
"COMM_HLTH_SVC_AREA","4113 Oaklands/Fernwood","132"
"COMM_HLTH_SVC_AREA","4114 Oak Bay","133"
"COMM_HLTH_SVC_AREA","4115 Gordon Head/Shelbourne","134"
"COMM_HLTH_SVC_AREA","4116 Quadra/Swan Lake","135"
"COMM_HLTH_SVC_AREA","4117 Interurban/Tillicum","136"
"COMM_HLTH_SVC_AREA","4118 View Royal","137"
"COMM_HLTH_SVC_AREA","4119 Esquimalt","138"
"COMM_HLTH_SVC_AREA","4121 Colwood","139"
"COMM_HLTH_SVC_AREA","4122 Metchosin","140"
"COMM_HLTH_SVC_AREA","4123 Langford/Highlands","141"
"COMM_HLTH_SVC_AREA","4124 Sooke","142"
"COMM_HLTH_SVC_AREA","4125 Juan de Fuca Coast","143"
"COMM_HLTH_SVC_AREA","4131 Royal Oak/Cordova Bay/Prospect","144"
"COMM_HLTH_SVC_AREA","4132 Central Saanich","145"
"COMM_HLTH_SVC_AREA","4133 North Saanich","146"
"COMM_HLTH_SVC_AREA","4134 Sidney","147"
"COMM_HLTH_SVC_AREA","4141 Salt Spring Island","148"
"COMM_HLTH_SVC_AREA","4142 Pender/Galiano/Saturna/Mayne","149"
"COMM_HLTH_SVC_AREA","4211 South Cowichan","150"
"COMM_HLTH_SVC_AREA","4212 Central Cowichan","151"
"COMM_HLTH_SVC_AREA","4220 Cowichan Valley West","152"
"COMM_HLTH_SVC_AREA","4231 Ladysmith","153"
"COMM_HLTH_SVC_AREA","4232 Ladysmith Rural","154"
"COMM_HLTH_SVC_AREA","4233 Chemainus","155"
"COMM_HLTH_SVC_AREA","4234 Penelakut and Thetis Islands","156"
"COMM_HLTH_SVC_AREA","4241 Downtown Nanaimo","157"
"COMM_HLTH_SVC_AREA","4242 Departure Bay","158"
"COMM_HLTH_SVC_AREA","4243 Nanaimo North/Lantzville","159"
"COMM_HLTH_SVC_AREA","4244 Nanaimo South","160"
"COMM_HLTH_SVC_AREA","4245 Nanaimo West/Rural","161"
"COMM_HLTH_SVC_AREA","4246 Cedar/Wellington","162"
"COMM_HLTH_SVC_AREA","4247 Gabriola Island","163"
"COMM_HLTH_SVC_AREA","4251 Parksville","164"
"COMM_HLTH_SVC_AREA","4252 Qualicum Beach","165"
"COMM_HLTH_SVC_AREA","4253 Oceanside Rural","166"
"COMM_HLTH_SVC_AREA","4261 Port Alberni","167"
"COMM_HLTH_SVC_AREA","4262 Alberni Valley/Bamfield","168"
"COMM_HLTH_SVC_AREA","4263 West Coast","169"
"COMM_HLTH_SVC_AREA","4311 Comox","170"
"COMM_HLTH_SVC_AREA","4312 Comox Valley Rural","171"
"COMM_HLTH_SVC_AREA","4313 Courtenay","172"
"COMM_HLTH_SVC_AREA","4321 Campbell River","173"
"COMM_HLTH_SVC_AREA","4322 Campbell River Rural","174"
"COMM_HLTH_SVC_AREA","4330 Vancouver Island West","175"
"COMM_HLTH_SVC_AREA","4341 Port Hardy/Port Alice","176"
"COMM_HLTH_SVC_AREA","4342 Port McNeill/Sointula","177"
"COMM_HLTH_SVC_AREA","4343 Vancouver Island North Remote","178"
"COMM_HLTH_SVC_AREA","5101 Haida Gwaii South","179"
"COMM_HLTH_SVC_AREA","5102 Haida Gwaii North","180"
"COMM_HLTH_SVC_AREA","5110 Snow Country","181"
"COMM_HLTH_SVC_AREA","5121 Prince Rupert City Centre","182"
"COMM_HLTH_SVC_AREA","5122 Prince Rupert Rural","183"
"COMM_HLTH_SVC_AREA","5130 Upper Skeena","184"
"COMM_HLTH_SVC_AREA","5141 Smithers Town Centre","185"
"COMM_HLTH_SVC_AREA","5142 Smithers Rural","186"
"COMM_HLTH_SVC_AREA","5143 Houston","187"
"COMM_HLTH_SVC_AREA","5150 Kitimat","188"
"COMM_HLTH_SVC_AREA","5160 Stikine","189"
"COMM_HLTH_SVC_AREA","5171 Terrace City Centre","190"
"COMM_HLTH_SVC_AREA","5172 Terrace Rural","191"
"COMM_HLTH_SVC_AREA","5180 Nisga'a","192"
"COMM_HLTH_SVC_AREA","5190 Telegraph Creek","193"
"COMM_HLTH_SVC_AREA","5211 Quesnel City Centre","194"
"COMM_HLTH_SVC_AREA","5212 Quesnel Rural","195"
"COMM_HLTH_SVC_AREA","5221 Burns Lake Town Centre","196"
"COMM_HLTH_SVC_AREA","5222 Burns Lake South","197"
"COMM_HLTH_SVC_AREA","5223 Burns Lake North","198"
"COMM_HLTH_SVC_AREA","5231 Vanderhoof","199"
"COMM_HLTH_SVC_AREA","5232 Vanderhoof Rural","200"
"COMM_HLTH_SVC_AREA","5233 Fort St. James North","201"
"COMM_HLTH_SVC_AREA","5234 Fraser Lake","202"
"COMM_HLTH_SVC_AREA","5241 Prince George City - North","203"
"COMM_HLTH_SVC_AREA","5242 Prince George City - Central","204"
"COMM_HLTH_SVC_AREA","5243 Prince George City - Southwest","205"
"COMM_HLTH_SVC_AREA","5244 Prince George Southwest Rural","206"
"COMM_HLTH_SVC_AREA","5245 Prince George North Fraser Rural","207"
"COMM_HLTH_SVC_AREA","5246 McBride/Valemount","208"
"COMM_HLTH_SVC_AREA","5247 Mackenzie","209"
"COMM_HLTH_SVC_AREA","5311 Dawson Creek","210"
"COMM_HLTH_SVC_AREA","5312 Chetwynd","211"
"COMM_HLTH_SVC_AREA","5313 Tumbler Ridge","212"
"COMM_HLTH_SVC_AREA","5314 Peace River South Rural","213"
"COMM_HLTH_SVC_AREA","5321 Fort St John","214"
"COMM_HLTH_SVC_AREA","5322 Hudson's Hope","215"
"COMM_HLTH_SVC_AREA","5323 Peace River North Rural","216"
"COMM_HLTH_SVC_AREA","5331 Fort Nelson Population Centre","217"
"COMM_HLTH_SVC_AREA","5332 Northern Boreal","218"
"FACILITY_TYPE","Long Term Care (LTC)","1"
"FACILITY_TYPE","Assisted Living (AL)","2"
"FACILITY_TYPE","Family Care Home (FCH)","3"
"FACILITY_TYPE","Group Homes (GH)","4"
"OWNER_TYPE","Health Authority (HA)","1"
"OWNER_TYPE","Private For Profit (PFP)","2"
"OWNER_TYPE","Private Not For Profit (PNP)","3"
"OWNER_TYPE","Fully Private","4"
"LEGISLATION_TYPE","CCALA","1"
"LEGISLATION_TYPE","Hospital Act","2"
"LEGISLATION_TYPE","CCALA and Hospital Act","3"
"LEGISLATION_TYPE","hospitalAct","4"
"SURVEY_CATEGORY","Community","1"
"SURVEY_CATEGORY","Supported","2"
"SURVEY_CATEGORY","Acute","3"
"SURVEY_CATEGORY","Tertiary","4"
"SURVEY_CATEGORY","ED","5"
"HA_WITH_CODE","01 Interior","1"
"HA_WITH_CODE","02 Fraser","2"
"HA_WITH_CODE","03 Vancouver Coastal","3"
"HA_WITH_CODE","04 Vancouver Island","4"
"HA_WITH_CODE","05 Northern","5"
"HA_WITH_CODE","06 Provincial Health","6"
"SURVEY_MONTH","3-Mar","1"
"SURVEY_MONTH","6-Jun","2"
"SURVEY_MONTH","9-Sep","3"
"SURVEY_MONTH","12-Dec","4"
"HA_WITH_SHORT_CODE","1 Interior","1"
"HA_WITH_SHORT_CODE","2 Fraser","2"
"HA_WITH_SHORT_CODE","3 Vancouver Coastal","3"
"HA_WITH_SHORT_CODE","4 Vancouver Island","4"
"HA_WITH_SHORT_CODE","5 Northern","5"
"HA_WITH_SHORT_CODE","6 Provincial Health","6"
"HA_WITH_SHORT_CODE","9 Unknown HA","7"
"HLTH_SVC_DELIVERY_AREA","11 - East Kootenay","1"
"HLTH_SVC_DELIVERY_AREA","12 Kootenay Boundary","2"
"HLTH_SVC_DELIVERY_AREA","13 Okanagan","3"
"HLTH_SVC_DELIVERY_AREA","14 Thompson Cariboo Shuswap","4"
"HLTH_SVC_DELIVERY_AREA","21 Fraser East","5"
"HLTH_SVC_DELIVERY_AREA","22 Fraser North","6"
"HLTH_SVC_DELIVERY_AREA","23 Fraser South","7"
"HLTH_SVC_DELIVERY_AREA","31 Richmond","8"
"HLTH_SVC_DELIVERY_AREA","32 Vancouver","9"
"HLTH_SVC_DELIVERY_AREA","33 North Shore/Coast Garibaldi","10"
"HLTH_SVC_DELIVERY_AREA","41 South Vancouver Island","11"
"HLTH_SVC_DELIVERY_AREA","42 Central Vancouver Island","12"
"HLTH_SVC_DELIVERY_AREA","43 North Vancouver Island","13"
"HLTH_SVC_DELIVERY_AREA","51 Northwest","14"
"HLTH_SVC_DELIVERY_AREA","52 Northern Interior","15"
"HLTH_SVC_DELIVERY_AREA","53 Northeast","16"
"MHSU_FACILITY_TYPE","MH Community Long Term Care","1"
"MHSU_FACILITY_TYPE","MH Community Assisted Living","2"
"MHSU_FACILITY_TYPE","MH Family Care Homes","3"
"MHSU_FACILITY_TYPE","MH Rental Subsidy","4"
"MHSU_FACILITY_TYPE","MH ACT/ICM Rental Subsidy","5"
"MHSU_FACILITY_TYPE","MH Community Crisis Stabilization Units","6"
"MHSU_FACILITY_TYPE","MH Emergency Shelters","7"
"MHSU_ORG_TYPE","Private For Profit","1"
"MHSU_ORG_TYPE","Private Not For Profit","2"
"MHSU_ORG_TYPE","BC Housing","3"
"MHSU_ORG_TYPE","Health Authority","4"
"MHSU_ORG_TYPE","Municipality","5"
"MHSU_ORG_TYPE","First Nations","6"
"MH_ACT_SCHEDULE","A","1"
"MH_ACT_SCHEDULE","B","2"
"MH_ACT_SCHEDULE","C","3"
"MH_ACT_SCHEDULE","NULL","4"
"FACILITY_CLIENT_TYPE","Male only","1"
"FACILITY_CLIENT_TYPE","Female only","2"
"FACILITY_CLIENT_TYPE","Male with Child(ren)","3"
"FACILITY_CLIENT_TYPE","Female with Child(ren)","4"
"FACILITY_CLIENT_TYPE","Male and Female","5"
"FACILITY_CLIENT_TYPE","Male or Female","6"
"FACILITY_CLIENT_TYPE","Transgender","7"
"FACILITY_CLIENT_TYPE","Gender Diverse","8"
"PRIORITY_POPULATION_TYPE","Indigenous ","1"
"PRIORITY_POPULATION_TYPE","Pregnant","2"
"PRIORITY_POPULATION_TYPE","Homeless","3"
"PRIORITY_POPULATION_TYPE","Rural or Remote (living in a rural or remote area)","4"
"PRIORITY_POPULATION_TYPE","Other priority population","5"
"PRIORITY_POPULATION_TYPE","Null (no priority population)","6"
"BEDS_FUNDING_INITIATIVE","Aug 2020 YSU Beds (123 Beds)","1"
"BEDS_FUNDING_INITIATIVE","Budget 2021","2"
"BEDS_FUNDING_INITIATIVE","Multiple Funding Impact","3"
"BEDS_FUNDING_INITIATIVE","Other","4"
"BEDS_FUNDING_INITIATIVE","Null","5"
"AVAIL_BED_CHG_REASON","Facility Opened","1"
"AVAIL_BED_CHG_REASON","Facility Closed (Permanently)","2"
"AVAIL_BED_CHG_REASON","Facility Closed (Temporarily)","3"
"AVAIL_BED_CHG_REASON","Facility Moved","4"
"AVAIL_BED_CHG_REASON","Renovations","5"
"AVAIL_BED_CHG_REASON","Funding Loss","6"
"AVAIL_BED_CHG_REASON","New Funding","7"
"AVAIL_BED_CHG_REASON","Beds Not Being Used","8"
"AVAIL_BED_CHG_REASON","Change in Bed Type","9"
"AVAIL_BED_CHG_REASON","COVID Temporary Reallocation","10"
"AVAIL_BED_CHG_REASON","Change in Population Served","11"
"AVAIL_BED_CHG_REASON","Unknown","12"
"AVAIL_BED_CHG_REASON","Other","13"
"PROGRAM_TYPE","Long-term Care (LTC)","1"
"PROGRAM_TYPE","Assisted Living (AL)","2"
"PROGRAM_TYPE","LTC","3"
"FACILITY_OWNERSHIP_TYPE","HA owned & operated","1"
"FACILITY_OWNERSHIP_TYPE","Private For Profit (PFP)","2"
"FACILITY_OWNERSHIP_TYPE","Private Not For Profit (PNP)","3"
"FACILITY_OWNERSHIP_TYPE","privateForProfitPfp","4"
"FACILITY_OWNERSHIP_TYPE","privateNotForProfitPnfp","5"
"FACILITY_OWNERSHIP_TYPE","healthAuthorityOwnedOperatedOO","6"
"HA_ABBREVIATED","FHA ","1"
"HA_ABBREVIATED","IHA","2"
"HA_ABBREVIATED","NHA","3"
"HA_ABBREVIATED","VCH","4"
"HA_ABBREVIATED","VIHA","5"
"REVENUE_TYPE","HA Operating Funding","1"
"REVENUE_TYPE","HA operating one-time funding","2"
"REVENUE_TYPE","HA Capital Contribution Funding ","3"
"REVENUE_TYPE","Recoveries by HA","4"
"REVENUE_TYPE","Client Revenue","5"
"REVENUE_TYPE","Other Revenue","6"
"REVENUE_TYPE","Revenue from HA (1)","7"
"REVENUE_TYPE","Revenue from HA (2)","8"
"REVENUE_TYPE","Revenue from HA (3)","9"
"REVENUE_TYPE","Revenue from HA (4)","10"
"REVENUE_TYPE","Non-operating revenue","11"
"REVENUE_TYPE","Total Operating Revenue","12"
"REVENUE_NAME","HA Operating Funding","1"
"REVENUE_NAME","Direct care hours ~ additional funding","2"
"REVENUE_NAME","Others ~ specify ","3"
"REVENUE_NAME","HA Operating Funding - Minor Equipment ","4"
"REVENUE_NAME","HA Operating Funding - Other ","5"
"REVENUE_NAME","HA Capital Contribution Funding","6"
"REVENUE_NAME","Occupancy threshold","7"
"REVENUE_NAME","Client contribution reconciliation","8"
"REVENUE_NAME","Direct care hours","9"
"REVENUE_NAME","HA client user fees paid by the client","10"
"REVENUE_NAME","Client user fees paid by third parties","11"
"REVENUE_NAME","Client user fee paid: non-eligible residents","12"
"REVENUE_NAME","Investments revenue on operating funds","13"
"REVENUE_NAME","CMHC/BCHMC funding","14"
"REVENUE_NAME","Food Services","15"
"REVENUE_NAME","Laundry Services","16"
"REVENUE_NAME","Cablevision","17"
"REVENUE_NAME","Other Recoveries","18"
"REVENUE_NAME","Other Revenue","19"
"REVENUE_NAME","HA Funding","20"
"REVENUE_NAME","Other - Third party funding","21"
"REVENUE_NAME","Client user fee paid by their parties","22"
"REVENUE_NAME","Investments Rev. on operating funds","23"
"REVENUE_NAME","Other - 3rd party funding","24"
"REVENUE_NAME","Client user fee: non-eligible resident","25"
"REVENUE_NAME","Other","26"
"EXPENDITURE_TYPE","Labour Cost","1"
"EXPENDITURE_TYPE","Benefit Cost","2"
"EXPENDITURE_TYPE","Property Cost","3"
"EXPENDITURE_TYPE","Supplies","4"
"EXPENDITURE_TYPE","Admin Cost","5"
"EXPENDITURE_TYPE","Operating Surplus/Deficit","6"
"EXPENDITURE_TYPE","Depreciation/Amortization","7"
"EXPENDITURE_TYPE","Non-operating Expense","8"
"EXPENDITURE_TYPE","Before salary/wages rec./accruals","9"
"EXPENDITURE_TYPE","Staffing Cost (1A)","10"
"EXPENDITURE_TYPE","Staffing Cost (1B)","11"
"EXPENDITURE_TYPE","Administration Cost - non-wages (4)","12"
"EXPENDITURE_TYPE","Supplies (3)","13"
"EXPENDITURE_TYPE","Property Cost (2)","14"
"EXPENDITURE_TYPE","Total Operating Expenses","15"
"EXPENDITURE_NAME","Direct Care","1"
"EXPENDITURE_NAME","Food Services","2"
"EXPENDITURE_NAME","Laundry Services","3"
"EXPENDITURE_NAME","Housekeeping Services","4"
"EXPENDITURE_NAME","Administration Services","5"
"EXPENDITURE_NAME","Plant Maintenance and Op. Staffing","6"
"EXPENDITURE_NAME","Salary and wages recovered","7"
"EXPENDITURE_NAME","Salaries and wages accrual ","8"
"EXPENDITURE_NAME","Other labour costs","9"
"EXPENDITURE_NAME","Benefits","10"
"EXPENDITURE_NAME","Sick, severance and other accrual","11"
"EXPENDITURE_NAME","Building rent/lease cost","12"
"EXPENDITURE_NAME","Interest on mortgage or long-term debt","13"
"EXPENDITURE_NAME","Property taxes","14"
"EXPENDITURE_NAME","Maintenance and repairs - building, ground and equipment","15"
"EXPENDITURE_NAME","Supplies - for building, ground and equipment ","16"
"EXPENDITURE_NAME","Utilities ","17"
"EXPENDITURE_NAME","Waste management","18"
"EXPENDITURE_NAME","Resident transportation services","19"
"EXPENDITURE_NAME","Others - operating","20"
"EXPENDITURE_NAME","Medical supplies","21"
"EXPENDITURE_NAME","Drugs & pharmaceutical","22"
"EXPENDITURE_NAME","Raw food costs (incl. dietary supplement costs)","23"
"EXPENDITURE_NAME","Dietary supplies","24"
"EXPENDITURE_NAME","Laundry supplies","25"
"EXPENDITURE_NAME","Housekeeping supplies","26"
"EXPENDITURE_NAME","Incontinence Supplies","27"
"EXPENDITURE_NAME","Others Supplies ","28"
"EXPENDITURE_NAME","Office expense ","29"
"EXPENDITURE_NAME","Management fees","30"
"EXPENDITURE_NAME","Head office allocation (non-compensation) ","31"
"EXPENDITURE_NAME","Accreditation costs","32"
"EXPENDITURE_NAME","Association dues, professional fees, audit fees","33"
"EXPENDITURE_NAME","Insurances (for property and liability)","34"
"EXPENDITURE_NAME","Administration and Supplies","35"
"EXPENDITURE_NAME","Other - admin and supplies","36"
"EXPENDITURE_NAME","Mortgage Principal Repayment","37"
"EXPENDITURE_NAME","Other Non-operating Expense","38"
"EXPENDITURE_NAME","Head Office Allocation","39"
"EXPENDITURE_NAME","Other","40"
"EXPENDITURE_NAME","Salary & wages recovered (negative value)","41"
"EXPENDITURE_NAME","Mortgage Principle Repayment","42"
"EXPENDITURE_NAME","Maintenance - building, ground & equip.","43"
"EXPENDITURE_NAME","Insurances (for property & liability)","44"
"EXPENDITURE_NAME","Plant Maintenance & Op. Staffing","45"
"EXPENDITURE_NAME","Raw Food Cost (inc. dietary supplement)","46"
"EXPENDITURE_NAME","Association dues, prof. fees, audit fees","47"
"EXPENDITURE_NAME","Supplies ~ for building, ground & equip.","48"
"DEPRECIATION_NAME","Building ","1"
"DEPRECIATION_NAME","Furniture and equipment","2"
"DEPRECIATION_NAME","Furniture & equipment","3"
"YTD_TOTAL_NAME","Total Operating Revenue","1"
"YTD_TOTAL_NAME","Total Operating Expenses","2"
"YTD_TOTAL_NAME","Non-operating Surplus / (Deficit)","3"
"YTD_TOTAL_NAME","Total Before depreciation & amortization","4"
"YTD_TOTAL_NAME","Subtotal - Depreciation / amortization","5"
"YTD_TOTAL_NAME","Total Operating Surplus / (Deficit)","6"
"YTD_TOTAL_NAME","Total - Non-operating Surplus / (Deficit)","7"
"YTD_TOTAL_NAME","Total - Operating Surplus / (Deficit)","8"
"POSITION_TYPE","Support","1"
"POSITION_TYPE","Administration","2"
"POSITION_TYPE","Nursing","3"
"POSITION_TYPE","Allied Professional","4"
"POSITION_TYPE","Allied Non-Professional","5"
"POSITION_NAME","Food services","1"
"POSITION_NAME","Laundry services","2"
"POSITION_NAME","Housekeeping services ","3"
"POSITION_NAME","Plant maintenance and operations staffing","4"
"POSITION_NAME","Administrator","5"
"POSITION_NAME","Director of care","6"
"POSITION_NAME","Dept managers","7"
"POSITION_NAME","Administrative support","8"
"POSITION_NAME","Pastoral care worker ","9"
"POSITION_NAME","Clerical clerks","10"
"POSITION_NAME","Clinical coordinator","11"
"POSITION_NAME","Other - specify ","12"
"POSITION_NAME","RN","13"
"POSITION_NAME","LPN","14"
"POSITION_NAME","Care Aides (HCA)","15"
"POSITION_NAME","Other Nursing (specify)","16"
"POSITION_NAME","Occupational therapist ","17"
"POSITION_NAME","Physiotherapist","18"
"POSITION_NAME","Dietitian","19"
"POSITION_NAME","Social worker","20"
"POSITION_NAME","Other allied professional (specify)","21"
"POSITION_NAME","Recreation Therapist","22"
"POSITION_NAME","Rehab Assistant","23"
"POSITION_NAME","Activity Worker","24"
"POSITION_NAME","Music Therapist","25"
"POSITION_NAME","Art Therapist","26"
"POSITION_NAME","Other","27"
"POSITION_NAME","HCA","28"
"POSITION_NAME","Respiratory Therapist","29"
"POSITION_NAME","Speech Language Pathologist","30"
"POSITION_NAME","Administrative Support  ~  bookkeepers, reception, IM/IT etc","31"
"POSITION_NAME","Director of Care/Director of Nursing","32"
"POSITION_NAME","Administrator = Sr. Leadership/Executive Staff","33"
"POSITION_NAME","Screeners/Greeters","34"
"POSITION_NAME","Heath Care Support Workers (HCAP)","35"
"POSITION_NAME","Dept Managers  ~ food services, housekeeping, laundry, HR etc","36"
"POSITION_NAME","Plant Maintenance & Operations Staffing","37"
"ADD_POSITION_TYPE","Allied Non-Professional ","1"
"ADD_POSITION_TYPE","Nursing Care","2"
"ADD_POSITION_TYPE","Allied Professional","3"
"ADD_POSITION_TYPE","Nursing","4"
"BENEFIT_TYPE","Employment Insurance","1"
"BENEFIT_TYPE","Canada Pension Plan","2"
"BENEFIT_TYPE","Workers Compensation Board","3"
"BENEFIT_TYPE","Employer Health Tax","4"
"BENEFIT_TYPE","Pension Plan","5"
"BENEFIT_TYPE","Extended Health & Dental","6"
"BENEFIT_TYPE","Group Life,  AD&D, LTD","7"
"BENEFIT_TYPE","Other Benefits ~ specify","8"
"BENEFIT_TYPE","Less: Benefit Recovery","9"
"BENEFIT_TYPE","Accrued Sick & Severance","10"
"BENEFIT_TYPE","Other Benefits","11"
"BENEFIT_TYPE","Not Provided","12"
"CARE_UNIT_TYPE","Specialized care","1"
"CARE_UNIT_TYPE","LTC","2"
"CARE_UNIT_TYPE","Other - please specify","3"
"REVISION_REASON","Increase in # Beds","1"
"REVISION_REASON","Increase in HPRD","2"
"REVISION_REASON","Licensing issue","3"
"REVISION_REASON","Other - specify","4"
"ALT_CLINICAL_OVERSITE_TYPE","Clinical oversight to shifts without an RN on-site (on-call RN or other strategies)","1"
"ALT_CLINICAL_OVERSITE_TYPE","Increase LPN hours of care to compensate for the gap in RN on-site hours ","2"
"ALT_CLINICAL_OVERSITE_TYPE","No mitigation strategy ","3"
"ALT_CLINICAL_OVERSITE_TYPE","Other - please specify ","4"
"STAFFING_POSITION_TYPE","RN/RPN","1"
"STAFFING_POSITION_TYPE","LPN","2"
"STAFFING_POSITION_TYPE","HCA ","3"
"STAFFING_POSITION_TYPE","Occupational Therapist","4"
"STAFFING_POSITION_TYPE","Physiotherapist","5"
"STAFFING_POSITION_TYPE","Dietitian","6"
"STAFFING_POSITION_TYPE","Social Worker","7"
"STAFFING_POSITION_TYPE","Medical Lab. Tech.","8"
"STAFFING_POSITION_TYPE","Respiratory Therapist","9"
"STAFFING_POSITION_TYPE","Speech Language Pathologist","10"
"STAFFING_POSITION_TYPE","Recreational Therapist ","11"
"STAFFING_POSITION_TYPE","Rehab Assistant","12"
"STAFFING_POSITION_TYPE","Activity Worker","13"
"STAFFING_POSITION_TYPE","Music Therapist","14"
"STAFFING_POSITION_TYPE","Art Therapist","15"
"STAFFING_SHIFT_TYPE","Days","1"
"STAFFING_SHIFT_TYPE","Evenings","2"
"STAFFING_SHIFT_TYPE","Nights","3"
"STAFF_MITIGATION_STRATEGY","Alternative RN clinical oversight to shifts without an RN on-site? (on-call RN or other strategies?)","1"
"STAFF_MITIGATION_STRATEGY","Increase LPN hours of care to compensate for the gap in RN on-site hours?","2"
"STAFF_MITIGATION_STRATEGY","Other - Please specify","3"
"STAFF_MITIGATION_STRATEGY","No mitigation strategy","4"
"YTD_QUARTER","Inventory ","1"
"YTD_QUARTER","Q1","2"
"YTD_QUARTER","Q2","3"
"YTD_QUARTER","Q3","4"
"YTD_QUARTER","Q4","5"
"YTD_QUARTER","q1","6"
"YTD_QUARTER","q2","7"
"YTD_QUARTER","q3","8"
"YTD_QUARTER","q4","9"
"BED_FUNDING_TYPE","inScope","1"
"BED_FUNDING_TYPE","outOfScope","2"
"BED_FUNDING_TYPE","privateBed","3"
"BED_FUNDING_TYPE","In-Scope Max. Beds Days","4"
"BED_FUNDING_TYPE","Out of Scope Max Beds Days","5"
"BED_FUNDING_TYPE","Private Max Beds Days","6"
"BED_FUNDING_TYPE","Total Max Bed Days","7"
"BED_FUNDING_TYPE","In-Scope 3.36 HPRD Publicly Funded Beds","8"
"BED_FUNDING_TYPE","Out of Scope Publicly Funded Beds","9"
"BED_FUNDING_TYPE","Private Beds","10"
"BED_FUNDING_TYPE","Not Provided","11"
"BED_SUB_TYPE","LTC Regular","1"
"BED_SUB_TYPE","LTC Temporary","2"
"BED_SUB_TYPE","Convalescent","3"
"BED_SUB_TYPE","Dedicated EOL","4"
"BED_SUB_TYPE","Designated EOL","5"
"BED_SUB_TYPE","Respite ","6"
"BED_SUB_TYPE","Flex Beds","7"
"BED_SUB_TYPE","Other - Specify ","8"
"BED_SUB_TYPE","Separate Unit","9"
"BED_SUB_TYPE","Co-located","10"
"BED_SUB_TYPE","Not Provided","11"
"MONTH","April","1"
"MONTH","May","2"
"MONTH","June","3"
"MONTH","July","4"
"MONTH","August","5"
"MONTH","September","6"
"MONTH","October","7"
"MONTH","November","8"
"MONTH","December","9"
"MONTH","January","10"
"MONTH","February","11"
"MONTH","March","12"
"ADD_POSITION_NAME","RN","1"
"ADD_POSITION_NAME","LPN","2"
"ADD_POSITION_NAME","Care Aides (HCA)","3"
"ADD_POSITION_NAME","Occupational Therapist","4"
"ADD_POSITION_NAME","Physiotherapist","5"
"ADD_POSITION_NAME","Dietitian","6"
"ADD_POSITION_NAME","Social Worker","7"
"ADD_POSITION_NAME","Recreation Therapist","8"
"ADD_POSITION_NAME","Rehab Assistant","9"
"ADD_POSITION_NAME","Activity Worker","10"
"ADD_POSITION_NAME","Music Therapist","11"
"ADD_POSITION_NAME","Art Therapist","12"
"ADD_POSITION_NAME","Other (specify)","13"
"ADD_POSITION_NAME","Other","14"
"ADD_POSITION_NAME","HCA","15"
